material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
KCuO3  3.83262143  0.766291069602  0.00570674  2.28600 3.16750 1.23610 2.20480 19 29 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.362985932102 -4.362986081876 -1.554935144418 7.534909454159 1.00
KZnO3  3.91706963  0.624375575435  0.01387534  2.28600 3.16750 1.11690 1.78990 19 30 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -6.384766005031 -0.880351142307 1.016686332121 9.995763731659 1.00
KGaO3  3.92629868  0.714399392476  0.01088247  2.28600 3.16750 1.00870 1.37830 19 31 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -2.447267344605 -2.447267428616 -0.221448418066 5.403241923784 1.00
KGeO3  3.81149531  0.958538373875  0.01366758  2.28600 3.16750 0.92390 1.18940 19 32 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.864142063585 -3.864142196235 -0.978668998444 7.285215454342 1.00
KZrO3  4.16584379  0.876360883648  0.03736073  2.28600 3.16750 1.67180 2.26450 19 40 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.230129340890 -3.230129451775 -0.047328544585 7.150603804508 1.00
KNbO3  3.98553617  1.19227807221  2.85796531  2.28600 3.16750 1.58200 2.11090 19 41 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.395561840699 -4.395561991591 -0.969575749518 7.291456922287 1.00
KMoO3  3.90601061  1.27852607496  0.01198889  2.28600 3.16750 1.55920 2.24600 19 42 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.405289070280 -4.405289221506 -1.713307224028 6.693232569522 1.00
KTcO3  3.86080116  1.28681605853  0.00755645  2.28600 3.16750 1.58880 2.13150 19 43 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.015504540133 -3.015504643650 -1.275831727848 7.207933304014 1.00
KRuO3  3.86690463  1.2136351084  0.01304196  2.28600 3.16750 1.55180 2.19700 19 44 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.663439802229 -2.821777985343 -0.586474863883 8.167782092633 1.00
KRhO3  3.88424665  1.04012874959  0.00810456  2.28600 3.16750 1.51700 2.24450 19 45 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.324078823778 -2.720936056224 -0.649048902331 9.152288883026 1.00
KPdO3  3.96747389  0.621980618356  0.00595793  2.28600 3.16750 1.48560 2.29200 19 46 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -5.018246293882 -2.610572297189 -0.200021161260 10.166984187162 1.00
KAgO3  4.06120467  0.637545992389  0.01329355  2.28600 3.16750 1.35140 1.94410 19 47 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.216907058393 -4.216907203152 -1.521159375706 7.251049684650 1.00
KCdO3  4.17897747  0.493021145759  0.00724715  2.28600 3.16750 1.24890 1.89950 19 48 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -6.023736420579 -0.948499811712 1.046403819836 9.367805294123 1.00
KSnO3  4.09694391  0.810106857261  0.05209577  2.28600 3.16750 1.07110 1.37380 19 50 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.693967270914 -3.693967397722 -1.084211366527 6.773509406815 1.00
KSbO3  3.98663774  0.922734868912  0.07739483  2.28600 3.16750 1.00720 1.25160 19 51 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.963183376254 -4.963183546631 -1.964510398835 8.359173003941 1.00
KTaO3  3.98411233  1.26059303516  3.59243745  2.28600 3.16750 1.47300 2.08400 19 73 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.410813983109 -3.410814100196 -0.207862642233 7.364063701622 1.00
KWO3  3.91601511  1.37086082256  0.03345972  2.28600 3.16750 1.41610 2.11260 19 74 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.437043328913 -4.437043481229 -0.922676234942 8.672459941188 1.00
KPtO3  3.96842560  0.939682926046  0.01432658  2.28600 3.16750 1.33610 1.80090 19 78 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -5.316148581053 -4.051110054601 -1.310324277513 10.114267892650 1.00
KPbO3  4.27870417  0.546122754659  0.01239672  2.28600 3.16750 1.04520 1.42350 19 82 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.503690269109 -3.503690389384 -0.958997386626 6.476888103509 1.00
